vision_model,text_model,projection,alignment_mean,alignment_std,intra_cluster,inter_cluster,silhouette,Wv_path,Wt_path
MobileNetV3,RoBERTa,cpca,0.1304627656936645,0.0861361250281333,15.624628067016602,16.052690505981445,-0.1573953032493591,/home/aysel/tfe/TFE_Data/TFE_Data/Model_Artifacts/projections/Flickr8k/Flickr8k/MobileNetV3_RoBERTa/CPCA/Wv.npy,/home/aysel/tfe/TFE_Data/TFE_Data/Model_Artifacts/projections/Flickr8k/Flickr8k/MobileNetV3_RoBERTa/CPCA/Wt.npy
MobileNetV3,GPT-2,rp,-0.0034482407749221,0.075070996031145,2612.227909053026,2612.461204542757,-0.3716588122453469,/home/aysel/tfe/TFE_Data/TFE_Data/Model_Artifacts/projections/Flickr8k/Flickr8k/MobileNetV3_GPT-2/RP/Wv.npy,/home/aysel/tfe/TFE_Data/TFE_Data/Model_Artifacts/projections/Flickr8k/Flickr8k/MobileNetV3_GPT-2/RP/Wt.npy
MobileNetV3,GPT-2,wcca,0.5655415654182434,0.1300709247589111,202.47927856445312,202.6281890869141,-0.3719583451747894,/home/aysel/tfe/TFE_Data/TFE_Data/Model_Artifacts/projections/Flickr8k/Flickr8k/MobileNetV3_GPT-2/WCCA/Wv.npy,/home/aysel/tfe/TFE_Data/TFE_Data/Model_Artifacts/projections/Flickr8k/Flickr8k/MobileNetV3_GPT-2/WCCA/Wt.npy
MobileNetV3,GPT-2,cpca,0.1738431304693222,0.1550153493881225,207.76593017578125,207.9062957763672,-0.3673339486122131,/home/aysel/tfe/TFE_Data/TFE_Data/Model_Artifacts/projections/Flickr8k/Flickr8k/MobileNetV3_GPT-2/CPCA/Wv.npy,/home/aysel/tfe/TFE_Data/TFE_Data/Model_Artifacts/projections/Flickr8k/Flickr8k/MobileNetV3_GPT-2/CPCA/Wt.npy
PVT,BERT,rp,0.0269788894633798,0.0916777798622574,269.4164840463957,269.4700274957466,-0.1666795091946886,/home/aysel/tfe/TFE_Data/TFE_Data/Model_Artifacts/projections/Flickr8k/Flickr8k/PVT_BERT/RP/Wv.npy,/home/aysel/tfe/TFE_Data/TFE_Data/Model_Artifacts/projections/Flickr8k/Flickr8k/PVT_BERT/RP/Wt.npy
PVT,BERT,wcca,0.2264793962240219,0.1091774106025695,16.2572078704834,17.820390701293945,-0.1844395101070404,/home/aysel/tfe/TFE_Data/TFE_Data/Model_Artifacts/projections/Flickr8k/Flickr8k/PVT_BERT/WCCA/Wv.npy,/home/aysel/tfe/TFE_Data/TFE_Data/Model_Artifacts/projections/Flickr8k/Flickr8k/PVT_BERT/WCCA/Wt.npy
PVT,BERT,cpca,0.053848773241043,0.1095902696251869,18.21124839782715,19.521947860717773,-0.1757508069276809,/home/aysel/tfe/TFE_Data/TFE_Data/Model_Artifacts/projections/Flickr8k/Flickr8k/PVT_BERT/CPCA/Wv.npy,/home/aysel/tfe/TFE_Data/TFE_Data/Model_Artifacts/projections/Flickr8k/Flickr8k/PVT_BERT/CPCA/Wt.npy
PVT,RoBERTa,rp,0.0134368906770262,0.0845058213513077,273.71173643852427,273.80131591802046,-0.1585571035570911,/home/aysel/tfe/TFE_Data/TFE_Data/Model_Artifacts/projections/Flickr8k/Flickr8k/PVT_RoBERTa/RP/Wv.npy,/home/aysel/tfe/TFE_Data/TFE_Data/Model_Artifacts/projections/Flickr8k/Flickr8k/PVT_RoBERTa/RP/Wt.npy
PVT,RoBERTa,wcca,0.2568821012973785,0.1054113134741783,17.595544815063477,18.163753509521484,-0.1720153242349624,/home/aysel/tfe/TFE_Data/TFE_Data/Model_Artifacts/projections/Flickr8k/Flickr8k/PVT_RoBERTa/WCCA/Wv.npy,/home/aysel/tfe/TFE_Data/TFE_Data/Model_Artifacts/projections/Flickr8k/Flickr8k/PVT_RoBERTa/WCCA/Wt.npy
PVT,RoBERTa,cpca,0.0326017662882804,0.0905244722962379,20.40958023071289,20.86878967285156,-0.1575844287872314,/home/aysel/tfe/TFE_Data/TFE_Data/Model_Artifacts/projections/Flickr8k/Flickr8k/PVT_RoBERTa/CPCA/Wv.npy,/home/aysel/tfe/TFE_Data/TFE_Data/Model_Artifacts/projections/Flickr8k/Flickr8k/PVT_RoBERTa/CPCA/Wt.npy
PVT,GPT-2,rp,0.0422239544238968,0.0916618753042088,2321.441659244316,2321.6631714800687,-0.3482930491265216,/home/aysel/tfe/TFE_Data/TFE_Data/Model_Artifacts/projections/Flickr8k/Flickr8k/PVT_GPT-2/RP/Wv.npy,/home/aysel/tfe/TFE_Data/TFE_Data/Model_Artifacts/projections/Flickr8k/Flickr8k/PVT_GPT-2/RP/Wt.npy
PVT,GPT-2,wcca,0.2591785490512848,0.1055112332105636,205.79493713378903,205.9634246826172,-0.3634851574897766,/home/aysel/tfe/TFE_Data/TFE_Data/Model_Artifacts/projections/Flickr8k/Flickr8k/PVT_GPT-2/WCCA/Wv.npy,/home/aysel/tfe/TFE_Data/TFE_Data/Model_Artifacts/projections/Flickr8k/Flickr8k/PVT_GPT-2/WCCA/Wt.npy
PVT,GPT-2,cpca,0.0541147105395793,0.1392829269170761,209.4140167236328,209.5908966064453,-0.3586483597755432,/home/aysel/tfe/TFE_Data/TFE_Data/Model_Artifacts/projections/Flickr8k/Flickr8k/PVT_GPT-2/CPCA/Wv.npy,/home/aysel/tfe/TFE_Data/TFE_Data/Model_Artifacts/projections/Flickr8k/Flickr8k/PVT_GPT-2/CPCA/Wt.npy
