model,faithfulness,complexity,sparsity,paraphrase_robustness
BERT,-0.5855702829779409,2.4280593156814576,0.8523625978940567,0.6267162844860427
GPT2,0.04931184958284836,2.3541093730926512,0.8684721294656638,0.7662643020096315
RoBERTa,-0.32466138480143436,2.509092557430267,0.8395900475382391,0.5987389198323241
